months_as_customer,age,policy_number,policy_state,policy_deductable,policy_annual_premium,insured_sex,insured_education_level,insured_occupation,insured_hobbies,insured_relationship,incident_date,incident_type,collision_type,incident_severity,authorities_contacted,incident_hour_of_the_day,number_of_vehicles_involved,auto_make,auto_model,auto_year,total_claim_amount
8,35,699044,OH,2000,1266.92,MALE,Masters,sales,polo,own-child,09/01/2015,Multi-vehicle Collision,Rear Collision,Major Damage,Other,16,3,Ford,Escape,2006,71500
257,43,863236,IN,2000,1322.1,MALE,High School,prof-specialty,golf,own-child,28/01/2015,Parked Car,?,Minor Damage,Police,4,1,Toyota,Camry,2005,9020
202,34,608513,IN,500,848.07,MALE,JD,exec-managerial,chess,not-in-family,07/01/2015,Vehicle Theft,?,Minor Damage,None,5,1,Suburu,Forrestor,2003,5720
224,40,914088,OH,2000,1291.7,FEMALE,JD,sales,kayaking,not-in-family,08/01/2015,Single Vehicle Collision,Side Collision,Minor Damage,Other,21,1,Dodge,Neon,2009,69840
241,45,596785,IL,2000,1104.5,FEMALE,PhD,machine-op-inspct,basketball,unmarried,15/02/2015,Single Vehicle Collision,Rear Collision,Minor Damage,Police,5,1,Accura,TL,2011,91650
64,25,908616,IL,1000,954.16,MALE,Masters,prof-specialty,video-games,husband,18/01/2015,Multi-vehicle Collision,Side Collision,Major Damage,Ambulance,22,4,Toyota,Corolla,2005,75600
166,37,666333,IL,2000,1337.28,MALE,JD,craft-repair,reading,husband,28/02/2015,Multi-vehicle Collision,Side Collision,Major Damage,Police,10,3,Ford,F150,2006,67140
155,35,336614,IL,1000,1088.34,FEMALE,Associate,adm-clerical,yachting,other-relative,24/02/2015,Multi-vehicle Collision,Front Collision,Total Loss,Police,16,3,BMW,3 Series,2008,29790
114,30,584859,IL,1000,1558.29,MALE,High School,farming-fishing,video-games,wife,09/01/2015,Multi-vehicle Collision,Front Collision,Major Damage,Ambulance,1,3,Suburu,Impreza,2015,77110
149,37,990493,IL,500,1415.68,MALE,PhD,prof-specialty,yachting,own-child,12/02/2015,Single Vehicle Collision,Side Collision,Total Loss,Fire,17,1,Audi,A3,1999,64800
147,33,129872,OH,1000,1334.15,MALE,High School,craft-repair,reading,not-in-family,24/01/2015,Single Vehicle Collision,Front Collision,Major Damage,Other,15,1,Mercedes,C300,1995,53100
62,28,200152,IL,1000,988.45,FEMALE,Masters,protective-serv,camping,unmarried,09/01/2015,Single Vehicle Collision,Rear Collision,Total Loss,Police,3,1,Suburu,Forrestor,2004,60200
289,49,933293,IL,2000,1222.48,FEMALE,JD,priv-house-serv,golf,unmarried,18/01/2015,Parked Car,?,Minor Damage,None,16,1,Suburu,Legacy,2001,5330
431,54,485664,IN,2000,1155.55,FEMALE,MD,craft-repair,bungie-jumping,unmarried,21/01/2015,Multi-vehicle Collision,Rear Collision,Major Damage,Police,4,3,Jeep,Wrangler,2007,62300
199,37,982871,IN,500,1262.08,MALE,JD,tech-support,video-games,wife,08/01/2015,Single Vehicle Collision,Front Collision,Major Damage,Ambulance,4,1,Nissan,Pathfinder,2011,60170
79,26,206213,IL,500,1451.62,MALE,Associate,tech-support,kayaking,not-in-family,03/01/2015,Single Vehicle Collision,Rear Collision,Minor Damage,Ambulance,19,1,BMW,M5,2010,40000
116,34,616337,IN,500,1737.66,MALE,Associate,transport-moving,chess,unmarried,01/01/2015,Single Vehicle Collision,Side Collision,Major Damage,Police,1,1,BMW,X5,2001,97080
37,23,448961,IL,500,1475.93,FEMALE,College,prof-specialty,hiking,husband,16/01/2015,Multi-vehicle Collision,Side Collision,Minor Damage,Other,17,3,Dodge,RAM,2010,51660
106,30,790442,OH,500,538.17,FEMALE,PhD,transport-moving,reading,own-child,10/02/2015,Single Vehicle Collision,Rear Collision,Total Loss,Other,23,1,Mercedes,E400,2005,51120
269,44,108844,IL,2000,1081.08,MALE,JD,priv-house-serv,reading,unmarried,14/02/2015,Single Vehicle Collision,Front Collision,Minor Damage,Other,14,1,Toyota,Highlander,2014,56400
265,40,430029,IL,1000,1454.43,FEMALE,MD,protective-serv,yachting,husband,21/02/2015,Multi-vehicle Collision,Rear Collision,Total Loss,Other,17,3,Accura,MDX,2002,55120
163,33,529112,IN,500,1240.47,FEMALE,Associate,other-service,polo,husband,18/02/2015,Multi-vehicle Collision,Rear Collision,Total Loss,Fire,11,3,Honda,Civic,2014,77110
355,47,939631,OH,2000,1273.7,MALE,College,other-service,kayaking,husband,10/01/2015,Multi-vehicle Collision,Front Collision,Major Damage,Fire,19,3,Audi,A3,2003,62800
175,34,866931,IN,1000,1123.87,FEMALE,PhD,protective-serv,dancing,other-relative,26/02/2015,Vehicle Theft,?,Trivial Damage,Police,5,1,Volkswagen,Passat,1995,7290
192,35,582011,IL,1000,1245.89,FEMALE,Masters,exec-managerial,movies,wife,01/01/2015,Single Vehicle Collision,Rear Collision,Total Loss,Other,19,1,Mercedes,C300,2000,76600
430,59,691189,OH,2000,1326.62,MALE,MD,other-service,bungie-jumping,own-child,03/01/2015,Multi-vehicle Collision,Front Collision,Minor Damage,Fire,19,3,Nissan,Pathfinder,1998,81800
91,27,537546,IL,2000,1073.83,FEMALE,JD,farming-fishing,polo,husband,17/01/2015,Vehicle Theft,?,Trivial Damage,None,4,1,BMW,M5,2008,7260
217,39,394975,IN,1000,1530.52,MALE,College,armed-forces,basketball,not-in-family,22/02/2015,Vehicle Theft,?,Minor Damage,None,8,1,Toyota,Corolla,2000,4300
223,40,729634,IN,500,1201.41,FEMALE,JD,priv-house-serv,movies,husband,27/01/2015,Multi-vehicle Collision,Side Collision,Major Damage,Police,7,3,Suburu,Forrestor,1999,70510
195,39,282195,OH,1000,1393.57,MALE,PhD,machine-op-inspct,movies,not-in-family,27/02/2015,Parked Car,?,Minor Damage,Police,5,1,Ford,F150,2009,2640
22,26,420810,OH,1000,1276.57,MALE,PhD,craft-repair,skydiving,not-in-family,06/01/2015,Single Vehicle Collision,Rear Collision,Minor Damage,Fire,3,1,Chevrolet,Silverado,1995,78900
439,56,524836,IN,500,1082.49,FEMALE,PhD,prof-specialty,chess,unmarried,28/02/2015,Multi-vehicle Collision,Front Collision,Major Damage,Fire,12,3,Honda,CRV,2014,56430
94,32,307195,IN,1000,1414.74,FEMALE,Masters,adm-clerical,hiking,own-child,22/02/2015,Parked Car,?,Minor Damage,None,19,1,Chevrolet,Silverado,2014,2400
11,39,623648,IL,2000,1470.06,MALE,PhD,other-service,yachting,husband,07/01/2015,Single Vehicle Collision,Front Collision,Total Loss,Ambulance,22,1,Saab,93,2007,65790
151,36,485372,OH,2000,870.63,FEMALE,MD,adm-clerical,kayaking,own-child,06/01/2015,Multi-vehicle Collision,Side Collision,Minor Damage,Police,12,3,Ford,Escape,2000,62920
154,34,598554,IN,500,795.23,MALE,PhD,machine-op-inspct,base-jumping,other-relative,10/01/2015,Multi-vehicle Collision,Rear Collision,Major Damage,Police,15,3,Nissan,Maxima,2014,69480
245,44,303987,IL,1000,1168.2,MALE,JD,handlers-cleaners,basketball,husband,11/02/2015,Multi-vehicle Collision,Side Collision,Total Loss,Other,23,3,Honda,Accord,1997,44280
119,32,343161,IL,1000,993.51,MALE,High School,armed-forces,bungie-jumping,unmarried,12/01/2015,Single Vehicle Collision,Side Collision,Minor Damage,Other,12,1,BMW,M5,2011,56300
215,42,519312,OH,500,1848.81,MALE,JD,transport-moving,video-games,own-child,06/02/2015,Multi-vehicle Collision,Front Collision,Major Damage,Fire,20,3,Suburu,Legacy,2003,68520
295,42,132902,OH,2000,1641.73,MALE,PhD,sales,chess,not-in-family,20/01/2015,Multi-vehicle Collision,Rear Collision,Total Loss,Fire,16,3,Ford,Escape,2006,59130
254,39,332867,IN,500,1362.87,FEMALE,MD,exec-managerial,chess,other-relative,22/02/2015,Multi-vehicle Collision,Front Collision,Minor Damage,Ambulance,6,3,Dodge,Neon,1995,82320
107,31,356590,IN,500,1239.22,FEMALE,High School,tech-support,paintball,not-in-family,30/01/2015,Single Vehicle Collision,Side Collision,Minor Damage,Fire,12,1,Audi,A5,2009,89700
478,64,346002,OH,500,835.02,FEMALE,Associate,adm-clerical,reading,unmarried,02/02/2015,Multi-vehicle Collision,Side Collision,Minor Damage,Fire,17,3,BMW,X6,1998,33930
128,30,500533,OH,1000,1061.33,MALE,MD,machine-op-inspct,movies,own-child,10/01/2015,Single Vehicle Collision,Front Collision,Major Damage,Ambulance,8,1,Audi,A5,1997,68530
338,49,348209,IN,1000,1279.08,MALE,MD,other-service,kayaking,own-child,27/02/2015,Parked Car,?,Minor Damage,None,13,1,Ford,F150,2004,4300
271,42,486676,OH,500,1105.49,FEMALE,Associate,prof-specialty,sleeping,own-child,20/02/2015,Multi-vehicle Collision,Side Collision,Major Damage,Other,12,2,Audi,A3,2003,68310
222,41,260845,OH,2000,1055.53,FEMALE,MD,armed-forces,cross-fit,not-in-family,08/02/2015,Single Vehicle Collision,Front Collision,Total Loss,Other,7,1,Honda,Civic,1995,61290
199,41,657045,OH,1000,895.83,FEMALE,Associate,sales,paintball,husband,11/02/2015,Single Vehicle Collision,Rear Collision,Minor Damage,Ambulance,10,1,Chevrolet,Malibu,1999,30100
215,37,761189,IN,500,1632.93,FEMALE,College,transport-moving,golf,not-in-family,23/02/2015,Multi-vehicle Collision,Rear Collision,Minor Damage,Fire,7,3,Mercedes,C300,2002,57120
192,40,175177,IL,1000,1405.99,FEMALE,Associate,sales,yachting,wife,01/03/2015,Multi-vehicle Collision,Side Collision,Minor Damage,Ambulance,18,3,BMW,X6,2005,42930
120,35,116700,OH,1000,1425.54,FEMALE,High School,transport-moving,bungie-jumping,other-relative,15/01/2015,Multi-vehicle Collision,Front Collision,Total Loss,Ambulance,22,3,Ford,Fusion,2010,51210
270,45,166264,OH,1000,1038.09,FEMALE,College,handlers-cleaners,golf,husband,14/01/2015,Multi-vehicle Collision,Front Collision,Minor Damage,Fire,18,3,Suburu,Legacy,1998,89400
319,47,527945,IN,500,1307.11,MALE,College,transport-moving,dancing,not-in-family,17/02/2015,Multi-vehicle Collision,Front Collision,Total Loss,Police,22,3,Audi,A3,2005,59730
194,39,627540,OH,1000,1489.24,FEMALE,JD,other-service,kayaking,wife,24/01/2015,Vehicle Theft,?,Minor Damage,None,15,1,Saab,95,2004,8060
227,38,279422,OH,500,976.67,FEMALE,PhD,handlers-cleaners,polo,unmarried,21/01/2015,Single Vehicle Collision,Rear Collision,Major Damage,Fire,16,1,BMW,M5,2013,72200
137,31,484200,OH,2000,1340.43,MALE,High School,exec-managerial,paintball,husband,19/02/2015,Multi-vehicle Collision,Side Collision,Minor Damage,Ambulance,6,3,Accura,MDX,2005,50800
244,40,645258,OH,2000,1267.81,FEMALE,Masters,exec-managerial,video-games,wife,03/01/2015,Vehicle Theft,?,Trivial Damage,None,10,1,Accura,TL,2005,6600
78,29,694662,IL,1000,1234.2,MALE,Masters,other-service,bungie-jumping,other-relative,29/01/2015,Vehicle Theft,?,Minor Damage,Police,3,1,Nissan,Maxima,2002,7500
200,35,960680,IN,2000,1318.06,MALE,High School,exec-managerial,video-games,wife,19/01/2015,Vehicle Theft,?,Trivial Damage,None,13,1,Volkswagen,Jetta,2002,6490
284,48,498140,IN,2000,769.95,MALE,Masters,prof-specialty,movies,not-in-family,19/01/2015,Multi-vehicle Collision,Side Collision,Major Damage,Ambulance,16,2,Audi,A3,2013,60940
275,41,498875,OH,2000,1514.72,MALE,High School,transport-moving,board-games,own-child,02/02/2015,Multi-vehicle Collision,Front Collision,Major Damage,Fire,13,3,Suburu,Legacy,2007,58300
153,34,798177,IL,1000,873.64,FEMALE,Associate,priv-house-serv,yachting,husband,30/01/2015,Multi-vehicle Collision,Front Collision,Minor Damage,Other,9,3,Ford,F150,2007,68400
134,32,614763,IL,500,1612.43,FEMALE,MD,other-service,yachting,own-child,08/01/2015,Single Vehicle Collision,Side Collision,Total Loss,Fire,2,1,BMW,3 Series,2015,64240
31,36,679370,IL,2000,1318.24,FEMALE,College,prof-specialty,kayaking,not-in-family,30/01/2015,Parked Car,?,Trivial Damage,None,9,1,Dodge,Neon,2002,4700
41,25,958857,IN,1000,1226.83,FEMALE,College,exec-managerial,exercise,not-in-family,07/01/2015,Multi-vehicle Collision,Side Collision,Major Damage,Other,12,3,Accura,MDX,2011,45120
127,29,686816,OH,2000,1326.44,FEMALE,High School,sales,board-games,own-child,24/02/2015,Multi-vehicle Collision,Front Collision,Total Loss,Fire,12,2,Saab,93,1995,66950
61,23,127754,IL,2000,1136.83,FEMALE,Associate,tech-support,exercise,own-child,02/02/2015,Single Vehicle Collision,Side Collision,Major Damage,Police,14,1,Honda,Accord,2004,98340
207,42,918629,IL,2000,1322.78,MALE,PhD,farming-fishing,yachting,own-child,28/02/2015,Parked Car,?,Trivial Damage,None,9,1,BMW,X5,2007,5900
219,43,731450,IN,1000,1483.25,FEMALE,MD,exec-managerial,exercise,not-in-family,09/02/2015,Multi-vehicle Collision,Front Collision,Major Damage,Ambulance,3,3,Ford,Fusion,2009,70680
271,42,307447,IL,500,1515.3,FEMALE,High School,machine-op-inspct,hiking,not-in-family,19/01/2015,Multi-vehicle Collision,Rear Collision,Total Loss,Ambulance,21,3,Mercedes,ML350,2005,93720
80,25,992145,IL,2000,1075.18,FEMALE,PhD,armed-forces,exercise,husband,21/02/2015,Vehicle Theft,?,Minor Damage,None,5,1,Toyota,Highlander,2001,6930
325,47,900628,IN,1000,1690.27,FEMALE,Associate,protective-serv,hiking,not-in-family,14/01/2015,Single Vehicle Collision,Side Collision,Major Damage,Fire,11,1,Dodge,RAM,2006,72930
29,25,235220,IL,2000,1352.83,MALE,Masters,farming-fishing,skydiving,own-child,22/01/2015,Multi-vehicle Collision,Rear Collision,Minor Damage,Other,4,4,Nissan,Pathfinder,2013,64890
295,48,740019,OH,1000,1148.73,FEMALE,College,machine-op-inspct,kayaking,wife,22/02/2015,Parked Car,?,Trivial Damage,None,6,1,Saab,95,1999,5400
239,42,246882,IL,1000,969.5,MALE,College,exec-managerial,reading,not-in-family,26/01/2015,Vehicle Theft,?,Trivial Damage,None,10,1,Audi,A3,2007,5600
269,41,797613,IN,500,1463.82,FEMALE,College,protective-serv,yachting,not-in-family,24/01/2015,Single Vehicle Collision,Rear Collision,Minor Damage,Police,23,1,Saab,92x,2007,79300
80,27,193442,IL,1000,1474.17,FEMALE,College,tech-support,exercise,unmarried,19/02/2015,Single Vehicle Collision,Side Collision,Major Damage,Police,13,1,Saab,95,2004,52800
279,41,389238,IL,500,1497.35,FEMALE,JD,prof-specialty,bungie-jumping,husband,29/01/2015,Multi-vehicle Collision,Front Collision,Minor Damage,Fire,16,3,Ford,Fusion,2013,28800
165,33,760179,OH,1000,1427.14,FEMALE,Associate,tech-support,kayaking,other-relative,15/02/2015,Parked Car,?,Minor Damage,Police,3,1,Toyota,Highlander,2008,2970
350,54,939905,OH,500,1495.1,MALE,College,other-service,basketball,wife,12/02/2015,Multi-vehicle Collision,Side Collision,Total Loss,Police,15,3,Chevrolet,Malibu,2014,93480
295,49,872814,IL,500,1141.62,MALE,College,prof-specialty,kayaking,husband,01/01/2015,Vehicle Theft,?,Minor Damage,None,4,1,Mercedes,E400,2002,4320
464,61,632627,OH,1000,1125.37,FEMALE,Associate,prof-specialty,basketball,husband,13/01/2015,Multi-vehicle Collision,Rear Collision,Major Damage,Police,6,3,Saab,95,2000,79800
118,28,283414,IN,2000,1207.36,FEMALE,High School,handlers-cleaners,camping,own-child,01/03/2015,Multi-vehicle Collision,Front Collision,Major Damage,Ambulance,22,2,Volkswagen,Passat,1997,74200
298,47,163161,IL,2000,1338.5,FEMALE,PhD,machine-op-inspct,basketball,other-relative,02/02/2015,Single Vehicle Collision,Front Collision,Major Damage,Fire,1,1,Saab,93,2000,70590
87,31,853360,IN,1000,1074.07,FEMALE,Masters,sales,chess,husband,27/01/2015,Multi-vehicle Collision,Rear Collision,Major Damage,Fire,16,3,Nissan,Ultima,2006,60940
261,42,776860,OH,500,1337.56,FEMALE,College,prof-specialty,video-games,unmarried,12/01/2015,Single Vehicle Collision,Rear Collision,Minor Damage,Police,18,1,Dodge,RAM,2010,74700
453,60,149367,IN,500,1298.91,MALE,PhD,craft-repair,dancing,unmarried,06/01/2015,Single Vehicle Collision,Front Collision,Major Damage,Fire,0,1,Ford,F150,2015,70000
210,41,395269,IL,500,1222.75,MALE,High School,exec-managerial,polo,other-relative,30/01/2015,Multi-vehicle Collision,Rear Collision,Total Loss,Other,12,3,BMW,X5,2001,81070
168,32,981123,IN,1000,1059.52,MALE,MD,protective-serv,camping,own-child,01/03/2015,Multi-vehicle Collision,Side Collision,Major Damage,Other,13,2,Saab,93,2007,57720
390,51,143626,OH,2000,1124.38,MALE,Associate,armed-forces,reading,other-relative,24/02/2015,Vehicle Theft,?,Minor Damage,None,9,1,Ford,F150,2001,7080
258,46,648397,IN,1000,1110.37,MALE,MD,machine-op-inspct,hiking,other-relative,24/01/2015,Multi-vehicle Collision,Side Collision,Total Loss,Other,14,3,Accura,MDX,1997,47700
107,31,154982,IL,2000,1374.22,FEMALE,PhD,machine-op-inspct,bungie-jumping,other-relative,26/02/2015,Single Vehicle Collision,Rear Collision,Minor Damage,Police,16,1,Suburu,Legacy,2002,51260
225,41,330591,OH,2000,1103.58,MALE,High School,exec-managerial,exercise,unmarried,19/01/2015,Multi-vehicle Collision,Side Collision,Major Damage,Police,20,3,Toyota,Highlander,2011,70400
164,38,319232,IL,2000,1269.76,FEMALE,PhD,transport-moving,yachting,not-in-family,17/01/2015,Single Vehicle Collision,Rear Collision,Minor Damage,Fire,4,1,Ford,Fusion,2015,90000
245,39,531640,OH,500,964.79,FEMALE,Associate,adm-clerical,camping,husband,20/02/2015,Multi-vehicle Collision,Rear Collision,Minor Damage,Police,7,3,BMW,3 Series,2010,72820
255,41,368050,IL,2000,1167.3,MALE,High School,priv-house-serv,board-games,other-relative,22/02/2015,Single Vehicle Collision,Side Collision,Minor Damage,Fire,22,1,Volkswagen,Passat,2000,69300
206,36,253791,IL,500,1625.45,FEMALE,MD,other-service,video-games,other-relative,23/01/2015,Single Vehicle Collision,Front Collision,Major Damage,Ambulance,11,1,Ford,Fusion,2008,76560
203,38,155724,IL,500,1394.43,FEMALE,Masters,other-service,skydiving,not-in-family,31/01/2015,Single Vehicle Collision,Front Collision,Major Damage,Ambulance,7,1,Nissan,Maxima,1999,55440
22,25,824540,OH,2000,1053.24,FEMALE,College,prof-specialty,movies,other-relative,05/01/2015,Multi-vehicle Collision,Front Collision,Total Loss,Other,0,4,Accura,MDX,1995,77130
211,35,717392,IL,500,1040.75,FEMALE,JD,prof-specialty,paintball,not-in-family,03/02/2015,Single Vehicle Collision,Rear Collision,Total Loss,Ambulance,1,1,BMW,X5,2011,42000
206,39,965768,IN,1000,1302.4,MALE,JD,craft-repair,dancing,unmarried,17/02/2015,Multi-vehicle Collision,Rear Collision,Total Loss,Ambulance,12,3,Ford,Escape,2013,36300
166,38,414779,IL,2000,1588.55,MALE,MD,protective-serv,video-games,unmarried,09/01/2015,Single Vehicle Collision,Side Collision,Total Loss,Other,8,1,Suburu,Impreza,2001,40320
165,32,428230,IN,500,1399.26,FEMALE,High School,tech-support,exercise,own-child,08/02/2015,Parked Car,?,Minor Damage,Police,9,1,BMW,M5,1998,3960
274,43,517240,OH,2000,1352.31,MALE,College,farming-fishing,basketball,wife,06/02/2015,Single Vehicle Collision,Front Collision,Major Damage,Fire,22,1,BMW,X5,2006,63840
81,28,469874,IL,1000,1139,FEMALE,Masters,sales,sleeping,husband,14/01/2015,Multi-vehicle Collision,Front Collision,Major Damage,Fire,0,3,Saab,92x,2000,44730
280,45,718428,IN,1000,1397.67,MALE,JD,machine-op-inspct,camping,wife,22/01/2015,Multi-vehicle Collision,Front Collision,Minor Damage,Other,0,3,Ford,Escape,1999,84720
194,39,620215,IN,500,823.17,MALE,Masters,adm-clerical,paintball,own-child,23/02/2015,Multi-vehicle Collision,Front Collision,Major Damage,Other,3,3,Dodge,RAM,2012,61500
112,27,618659,OH,500,965.13,FEMALE,Masters,tech-support,exercise,unmarried,22/02/2015,Multi-vehicle Collision,Front Collision,Major Damage,Ambulance,21,3,Nissan,Pathfinder,2013,51000
24,33,649082,IL,1000,1922.84,FEMALE,High School,machine-op-inspct,skydiving,wife,24/01/2015,Single Vehicle Collision,Side Collision,Total Loss,Police,0,1,Jeep,Wrangler,2002,46800
93,32,437573,OH,2000,1624.82,MALE,PhD,exec-managerial,basketball,unmarried,09/02/2015,Single Vehicle Collision,Side Collision,Minor Damage,Ambulance,16,1,BMW,3 Series,2006,78120
171,34,964657,IN,2000,1277.25,FEMALE,College,exec-managerial,yachting,other-relative,19/01/2015,Single Vehicle Collision,Rear Collision,Major Damage,Police,14,1,Volkswagen,Passat,1996,69200
200,40,932502,IL,1000,1439.34,FEMALE,High School,sales,exercise,other-relative,01/01/2015,Vehicle Theft,?,Minor Damage,Police,9,1,Ford,Escape,2015,3690
120,28,434507,IL,1000,1281.27,FEMALE,PhD,tech-support,golf,not-in-family,07/01/2015,Multi-vehicle Collision,Rear Collision,Minor Damage,Fire,9,3,BMW,X5,2010,65500
325,46,935277,IL,500,1348.83,FEMALE,High School,prof-specialty,basketball,wife,01/02/2015,Multi-vehicle Collision,Rear Collision,Minor Damage,Fire,21,3,Toyota,Camry,1999,76120
124,32,756054,IL,1000,1198.15,FEMALE,MD,other-service,hiking,not-in-family,21/02/2015,Multi-vehicle Collision,Front Collision,Total Loss,Other,19,3,BMW,X5,1995,73560
211,35,682387,OH,2000,1221.22,MALE,Masters,machine-op-inspct,camping,other-relative,21/01/2015,Single Vehicle Collision,Rear Collision,Total Loss,Police,2,1,Mercedes,E400,2008,52030
287,41,456604,IL,2000,968.74,MALE,Masters,transport-moving,video-games,wife,19/01/2015,Vehicle Theft,?,Trivial Damage,None,9,1,Suburu,Forrestor,2001,5170
122,34,139872,IN,1000,1220.71,MALE,PhD,machine-op-inspct,video-games,own-child,27/02/2015,Parked Car,?,Minor Damage,None,5,1,Chevrolet,Silverado,2013,8190
22,29,354105,IN,2000,1238.62,MALE,MD,exec-managerial,yachting,other-relative,14/02/2015,Single Vehicle Collision,Rear Collision,Major Damage,Ambulance,14,1,Accura,MDX,2012,70800
106,31,165485,IL,2000,1320.75,FEMALE,JD,farming-fishing,video-games,wife,01/02/2015,Multi-vehicle Collision,Rear Collision,Total Loss,Police,20,3,Accura,MDX,2011,45630
398,58,515050,OH,500,990.98,FEMALE,Associate,exec-managerial,cross-fit,wife,02/02/2015,Single Vehicle Collision,Front Collision,Major Damage,Police,18,1,Accura,TL,2002,99320
214,41,795686,IL,500,1398.51,MALE,Masters,tech-support,polo,not-in-family,01/02/2015,Multi-vehicle Collision,Side Collision,Major Damage,Fire,13,3,BMW,X6,1996,64000
